Date,z1_AC1(kW),z1_Light(kW),z1_Plug(kW),z1_S1(degC),z1_S1(RH%),z1_S1(lux),z2_AC1(kW),z2_AC2(kW),z2_AC3(kW),z2_AC4(kW),z2_AC5(kW),z2_AC6(kW),z2_AC7(kW),z2_AC8(kW),z2_AC9(kW),z2_AC10(kW),z2_AC11(kW),z2_AC12(kW),z2_AC13(kW),z2_AC14(kW),z2_Light(kW),z2_Plug(kW),z2_S1(degC),z2_S1(RH%),z2_S1(lux),z3_Light(kW),z3_Plug(kW),z3_S1(degC),z3_S1(RH%),z3_S1(lux),z4_AC1(kW),z4_Light(kW),z4_Plug(kW)
2018-07-01 00:00:00,0.0,0.010666666666666666,0.15,28.3725,59.14,0.0,1.047,0.0,0.0,0.0,1.2636666666666667,1.221,0.8496666666666666,0.8946666666666666,0.9423333333333334,1.0430000000000001,0.0,0.0,0.0,0.0,0.0,0.07666666666666666,28.816,64.81733333333334,0.0,0.012,0.316,29.24142857142857,68.13892857142856,0.0,0.0,0.0,0.0
2018-07-01 00:30:00,0.0,0.010666666666666666,0.15,28.394090909090906,59.7640909090909,0.0,1.0166666666666666,0.0,0.0,0.0,1.2746666666666668,1.1883333333333332,0.8576666666666667,0.8603333333333334,0.9496666666666667,1.0136666666666667,0.0,0.0,0.0,0.0,0.0,0.066,28.832333333333334,64.72466666666666,0.0,0.09200000000000001,0.317,29.283333333333335,67.54299999999999,0.0,0.0,0.0,0.0
2018-07-01 01:00:00,0.0,0.012,0.14866666666666667,28.395333333333333,59.57266666666667,0.0,1.0363333333333333,0.0,0.0,0.0,1.278,1.21,0.859,0.8816666666666666,0.953,1.0313333333333334,0.0,0.0,0.0,0.0,0.0,0.064,28.853666666666665,64.61466666666666,0.0,0.016666666666666666,0.316,29.381666666666668,67.85266666666666,0.0,0.0,0.0,0.0
2018-07-01 01:30:00,0.0,0.012333333333333333,0.15066666666666664,28.408666666666665,59.51833333333333,0.0,1.0446666666666669,0.0,0.0,0.0,1.282,1.2226666666666666,0.8596666666666667,0.8886666666666667,0.9536666666666667,1.0416666666666667,0.0,0.0,0.0,0.0,0.0,0.079,28.894,64.54766666666667,0.0,0.06566666666666666,0.3173333333333333,29.390666666666668,68.31266666666667,0.0,0.0,0.0,0.0
2018-07-01 02:00:00,0.0,0.011333333333333334,0.14866666666666667,28.415666666666667,59.471333333333334,0.0,1.0543333333333333,0.0,0.0,0.0,1.2793333333333334,1.2313333333333332,0.8566666666666667,0.8976666666666666,0.954,1.0513333333333335,0.0,0.0,0.0,0.0,0.0,0.057,28.890666666666668,64.52333333333334,0.0,0.041,0.316,29.384333333333334,68.441,0.0,0.0,0.0,0.0
2018-07-01 02:30:00,0.0,0.011000000000000001,0.14866666666666667,28.417333333333332,59.54233333333333,0.0,1.0273333333333334,0.0,0.0,0.0,1.28,1.1986666666666668,0.8626666666666666,0.869,0.958,1.0243333333333333,0.0,0.0,0.0,0.0,0.0,0.077,28.895666666666667,64.48866666666667,0.0,0.012666666666666666,0.317,29.383666666666667,68.82266666666666,0.0,0.0,0.0,0.0
2018-07-01 03:00:00,0.0,0.010666666666666666,0.14833333333333334,28.437,59.83633333333333,0.0,1.0450000000000002,0.0,0.0,0.0,1.275,1.2173333333333334,0.861,0.8906666666666667,0.955,1.0403333333333333,0.0,0.0,0.0,0.0,0.0,0.05633333333333334,28.913,64.47333333333333,0.0,0.094,0.3156666666666667,29.313333333333333,68.35933333333334,0.0,0.0,0.0,0.0
2018-07-01 03:30:00,0.0,0.010666666666666666,0.14966666666666667,28.437,59.748333333333335,0.0,1.0446666666666666,0.0,0.0,0.0,1.275,1.2163333333333335,0.8596666666666667,0.8883333333333334,0.956,1.0396666666666667,0.0,0.0,0.0,0.0,0.0,0.06966666666666667,28.881333333333334,64.35066666666667,0.0,0.013333333333333334,0.3173333333333333,29.317,68.33,0.0,0.0,0.0,0.0
2018-07-01 04:00:00,0.0,0.012,0.14966666666666667,28.44107142857143,59.81535714285714,0.0,1.0466666666666666,0.0,0.0,0.0,1.2773333333333334,1.2183333333333333,0.8646666666666667,0.8926666666666667,0.9566666666666667,1.0413333333333334,0.0,0.0,0.0,0.0,0.0,0.07200000000000001,28.900333333333332,64.19266666666667,0.0,0.10566666666666666,0.31533333333333335,29.367,68.40599999999999,0.0,0.0,0.0,0.0
2018-07-01 04:30:00,0.0,0.011000000000000001,0.14766666666666667,28.434,59.842666666666666,0.0,1.0496666666666667,0.0,0.0,0.0,1.2783333333333333,1.2226666666666666,0.8646666666666667,0.8963333333333333,0.9583333333333334,1.0463333333333333,0.0,0.0,0.0,0.0,0.0,0.057666666666666665,28.92535714285714,64.1425,0.0,0.11633333333333334,0.3143333333333333,29.408333333333335,68.41000000000001,0.0,0.0,0.0,0.0
2018-07-01 05:00:00,0.0,0.012,0.14666666666666667,28.435333333333336,59.726,0.0,0.13933333333333336,0.6333333333333333,0.38199999999999995,0.4433333333333333,0.872,0.36733333333333335,0.5950000000000001,0.11966666666666667,0.6556666666666667,0.13866666666666666,0.0,0.0,0.0,0.0,0.0,0.07766666666666668,28.937,64.40466666666667,0.0,0.012333333333333333,0.31166666666666665,29.414333333333335,68.68733333333333,0.0,0.0,0.0,0.0
