Date,z1_AC1(kW),z1_AC2(kW),z1_AC3(kW),z1_AC4(kW),z1_Light(kW),z1_Plug(kW),z1_S1(degC),z1_S1(RH%),z1_S1(lux),z2_AC1(kW),z2_Light(kW),z2_Plug(kW),z2_S1(degC),z2_S1(RH%),z2_S1(lux),z3_Light(kW),z3_Plug(kW),z4_AC1(kW),z4_Light(kW),z4_Plug(kW),z4_S1(degC),z4_S1(RH%),z4_S1(lux),z5_AC1(kW),z5_Light(kW),z5_Plug(kW),z5_S1(degC),z5_S1(RH%),z5_S1(lux)
2018-07-01 00:00:00,0.0,0.0,0.0,0.07,0.0,0.029999999999999995,28.53076923076923,60.524230769230776,0.0,0.0,0.0,0.03266666666666666,27.675,63.339333333333336,0.0,0.051000000000000004,0.3476666666666667,0.0,0.0,0.02,27.683214285714286,65.53285714285714,0.0,0.0,0.0,0.021666666666666667,26.883,71.15333333333334,0.0
2018-07-01 00:30:00,0.0,0.0,0.0,0.07,0.0,0.029999999999999995,28.786153846153844,59.909615384615385,0.0,0.0,0.0,0.030999999999999996,27.672000000000004,63.312,0.0,0.22033333333333335,0.319,0.0,0.0,0.02,27.71,65.50833333333334,0.0,0.0,0.0,0.023,26.875999999999998,70.901,0.0
2018-07-01 01:00:00,0.0,0.0,0.0,0.07,0.0,0.029999999999999995,28.699666666666666,59.951,0.0,0.0,0.0,0.03233333333333333,27.659666666666666,63.321333333333335,0.0,0.054000000000000006,0.362,0.0,0.0,0.02,27.718666666666664,65.48100000000001,0.0,0.0,0.0,0.021666666666666667,26.889642857142857,71.11107142857142,0.0
2018-07-01 01:30:00,0.0,0.0,0.0,0.07,0.0,0.029999999999999995,28.649333333333335,60.273,0.0,0.0,0.0,0.032,27.66166666666667,63.30866666666667,0.0,0.011333333333333334,0.338,0.0,0.0,0.02,27.726,65.43066666666667,0.0,0.0,0.0,0.023,26.897666666666666,71.21666666666667,0.0
2018-07-01 02:00:00,0.0,0.0,0.0,0.07,0.0,0.029999999999999995,28.723666666666666,59.83866666666667,0.0,0.0,0.0,0.03233333333333333,27.647333333333332,63.31266666666667,0.0,0.10566666666666666,0.32733333333333337,0.0,0.0,0.02,27.723666666666666,65.36833333333333,0.0,0.0,0.0,0.022000000000000002,26.898999999999997,71.22466666666668,0.0
2018-07-01 02:30:00,0.0,0.0,0.0,0.07,0.0,0.029999999999999995,28.727999999999998,59.81033333333333,0.0,0.0,0.0,0.030999999999999996,27.651333333333334,63.30533333333333,0.0,0.011333333333333334,0.3656666666666667,0.0,0.0,0.02,27.737333333333332,65.39766666666667,0.0,0.0,0.0,0.021,26.89777777777778,71.22185185185185,0.0
2018-07-01 03:00:00,0.0,0.0,0.0,0.07,0.0,0.029999999999999995,28.685,60.10192307692308,0.0,0.0,0.0003333333333333333,0.03166666666666666,27.645666666666667,63.306666666666665,0.0,0.01,0.32866666666666666,0.0,0.0,0.02,27.763666666666666,65.30466666666668,0.0,0.0,0.0,0.021666666666666667,26.918333333333337,71.24033333333334,0.0
2018-07-01 03:30:00,0.0,0.0,0.0,0.06966666666666668,0.0,0.029999999999999995,28.686,60.074,0.0,0.0,0.0,0.03133333333333333,27.653333333333332,63.279,0.0,0.10533333333333333,0.33533333333333337,0.0,0.0,0.02,27.75,65.37166666666666,0.0,0.0,0.0,0.022000000000000002,26.925,70.88866666666667,0.0
2018-07-01 04:00:00,0.0,0.0,0.0,0.07,0.0,0.029999999999999995,28.730666666666664,59.88633333333333,0.0,0.0,0.0,0.03133333333333333,27.65,63.282000000000004,0.0,0.01,0.3656666666666667,0.0,0.0,0.02,27.764666666666667,65.43266666666666,0.0,0.0,0.0,0.021,26.939666666666668,71.059,0.0
2018-07-01 04:30:00,0.0,0.0,0.0,0.06966666666666668,0.0,0.029999999999999995,28.761666666666667,59.73766666666667,0.0,0.0,0.0,0.030999999999999996,27.647333333333332,63.25633333333334,0.0,0.042333333333333334,0.3993333333333334,0.0,0.0,0.02,27.765333333333334,65.427,0.0,0.0,0.0,0.021333333333333333,26.940333333333335,71.29833333333333,0.0
2018-07-01 05:00:00,0.0,0.0,0.0,0.06966666666666668,0.0,0.029999999999999995,28.518333333333334,60.215833333333336,0.0,0.0,0.0,0.03133333333333333,27.642857142857142,63.245,0.0,0.07133333333333333,0.37533333333333335,0.0,0.0,0.02,27.75142857142857,65.43107142857143,0.0,0.0,0.0,0.021,26.942666666666664,71.40333333333334,0.0
2018-07-01 05:30:00,0.0,0.0,0.0,0.06933333333333333,0.0,0.029999999999999995,28.394333333333336,60.57966666666667,0.0,0.0,0.0,0.030999999999999996,27.639,63.22033333333333,0.0,0.01,0.35333333333333333,0.0,0.0,0.02,27.753666666666668,65.44766666666666,0.0,0.0,0.0,0.02033333333333333,26.94928571428571,71.45714285714286,0.0
2018-07-01 06:00:00,0.0,0.0,0.0,0.069,0.0,0.029999999999999995,28.401666666666664,60.61033333333333,0.16666666666666666,0.0,0.0,0.03133333333333333,27.64107142857143,63.19392857142857,0.0,0.103,0.31933333333333336,0.0,0.0,0.02,27.755333333333336,65.51766666666667,0.0,0.0,0.0,0.021,26.961379310344828,71.50344827586207,0.0
2018-07-01 06:30:00,0.0,0.0,0.0,0.06866666666666667,0.0,0.029999999999999995,28.477083333333336,60.63291666666667,5.166666666666667,0.0,0.0,0.03033333333333333,27.68846153846154,63.236538461538466,0.0,0.09066666666666667,0.3173333333333333,0.0,0.0,0.02,27.86,65.48,0.9,0.0,0.0,0.021333333333333333,26.968620689655175,71.58241379310344,0.0
