Date,z1_Light(kW),z1_Plug(kW),z2_AC1(kW),z2_AC2(kW),z2_AC3(kW),z2_AC4(kW),z2_Light(kW),z2_Plug(kW),z3_Light(kW),z3_Plug(kW),z4_Light(kW)
2019-01-01 00:00:00,0.013000000000000001,0.5753333333333333,21.599,10.067666666666666,0.008,0.011333333333333334,17.548000000000002,14.897666666666668,10.064333333333334,0.3766666666666667,14.600333333333333
2019-01-01 00:30:00,0.012333333333333333,0.5746666666666667,20.535666666666668,8.231333333333334,0.008,0.01,17.570333333333334,13.749666666666666,10.075,0.37733333333333335,14.608666666666666
2019-01-01 01:00:00,0.012666666666666666,0.5776666666666667,23.834999999999997,6.451,0.008333333333333333,0.009666666666666665,17.779333333333334,13.905,10.141666666666667,0.37866666666666665,14.594999999999999
2019-01-01 01:30:00,0.012333333333333333,0.421,20.659666666666666,10.271666666666668,0.008,0.011333333333333334,17.517999999999997,15.603333333333332,10.061666666666667,0.377,14.596
2019-01-01 02:00:00,0.011666666666666665,0.298,22.798000000000002,7.206666666666667,0.008,0.009666666666666665,17.124333333333333,15.421666666666665,9.914333333333333,0.367,14.270333333333333
2019-01-01 02:30:00,0.015000000000000001,0.38199999999999995,4.636333333333334,11.366000000000001,0.006333333333333333,0.011333333333333334,17.788666666666664,15.702,10.149333333333335,0.3796666666666667,14.589333333333334
2019-01-01 03:00:00,0.014666666666666666,0.06666666666666667,4.024666666666667,11.419666666666668,0.006333333333333333,0.011333333333333334,17.319000000000003,14.762666666666666,10.007333333333332,0.376,14.602
2019-01-01 03:30:00,0.014333333333333333,3.2640000000000002,6.5696666666666665,11.603666666666667,0.007,0.011666666666666665,17.363666666666667,14.713333333333335,10.073,0.3796666666666667,15.042333333333334
2019-01-01 04:00:00,0.014333333333333333,0.8856666666666667,5.04,14.568,0.006333333333333333,0.013000000000000001,17.439666666666668,14.660666666666666,10.047,0.38666666666666666,24.68433333333333
2019-01-01 04:30:00,0.013666666666666666,0.527,7.8276666666666666,8.887,0.006666666666666667,0.010333333333333333,17.667333333333332,15.263333333333332,10.335666666666667,0.3846666666666667,24.808666666666667
2019-01-01 05:00:00,0.014,0.574,8.641333333333334,12.514999999999999,0.006666666666666667,0.012333333333333333,17.532,15.677,10.068999999999999,0.381,24.750666666666667
2019-01-01 05:30:00,0.013666666666666666,0.5443333333333334,6.138333333333334,14.838666666666667,0.006333333333333333,0.013333333333333334,17.54866666666667,14.860333333333333,10.672,0.386,24.516333333333332
2019-01-01 06:00:00,0.014,2.9016666666666664,8.931666666666667,7.952333333333334,0.007666666666666667,0.009666666666666665,17.752666666666666,15.949666666666667,10.139666666666667,0.39,3.9710000000000005
2019-01-01 06:30:00,0.014333333333333333,3.6326666666666667,5.381,14.493,0.007,0.012666666666666666,17.45266666666667,14.073,10.055333333333333,0.38,0.05266666666666667
2019-01-01 07:00:00,0.013666666666666667,0.034,8.956666666666667,7.645666666666667,0.007333333333333333,0.009000000000000001,17.259,14.719666666666667,9.997666666666667,0.386,0.05433333333333334
2019-01-01 07:30:00,0.014666666666666666,0.012666666666666666,5.535666666666667,13.184,0.006666666666666667,0.012,17.979666666666667,14.834,10.086666666666668,0.391,0.053000000000000005
2019-01-01 08:00:00,0.013333333333333334,0.012666666666666666,8.520999999999999,12.760666666666667,0.007,0.012,17.456,14.427333333333333,10.075999999999999,0.39,0.05500000000000001
2019-01-01 08:30:00,0.013666666666666666,0.012,9.112,10.067666666666668,0.007,0.010666666666666666,17.344333333333335,14.821333333333333,10.043333333333333,0.38366666666666666,0.05433333333333334
2019-01-01 09:00:00,0.014333333333333333,0.06166666666666667,5.6226666666666665,13.787333333333333,0.006666666666666667,0.012333333333333333,17.261666666666667,14.743,10.026,0.38833333333333336,0.05333333333333334
2019-01-01 09:30:00,0.013666666666666667,0.09066666666666667,9.197333333333335,8.371333333333334,0.007333333333333333,0.009333333333333334,17.221,14.735000000000001,10.001,0.377,0.05466666666666667
2019-01-01 10:00:00,0.014,0.029,5.525666666666666,24.18166666666667,0.006,0.018333333333333333,17.396666666666665,14.704333333333333,9.980666666666668,0.38666666666666666,0.054000000000000006
2019-01-01 10:30:00,0.014,0.016,5.297,20.191333333333333,0.006,0.016,17.474666666666668,14.477,10.081333333333333,0.3846666666666667,0.053000000000000005
2019-01-01 11:00:00,0.014,0.08499999999999999,9.192333333333332,8.619333333333334,0.007333333333333333,0.009666666666666665,17.562,15.484333333333334,10.105333333333332,0.38033333333333336,0.05500000000000001
2019-01-01 11:30:00,0.013333333333333332,0.091,11.971333333333332,15.429666666666666,0.007,0.013333333333333334,17.341666666666665,14.704137931034483,9.918333333333333,0.3783333333333333,0.05566666666666666
2019-01-01 12:00:00,0.013666666666666666,0.09266666666666667,7.515333333333333,16.096666666666668,0.006666666666666667,0.013666666666666666,17.611,15.506,10.118333333333334,0.38033333333333336,0.05433333333333334
2019-01-01 12:30:00,0.014,0.09433333333333334,5.873333333333333,18.250999999999998,0.006666666666666667,0.015000000000000001,17.658666666666665,14.598333333333333,9.97,0.381,0.05433333333333334
2019-01-01 13:00:00,0.014,0.08033333333333334,8.174666666666667,11.055000000000001,0.007,0.011000000000000001,17.644333333333336,15.656,10.124,0.381,0.05366666666666667
2019-01-01 13:30:00,0.014,0.014,6.435333333333333,17.054333333333332,0.006333333333333333,0.014333333333333333,17.538666666666664,14.239333333333333,10.095,0.39133333333333337,0.05433333333333334
