Date,z1_AC1(kW),z1_Light(kW),z1_Plug(kW),z1_S1(degC),z1_S1(RH%),z1_S1(lux),z2_AC1(kW),z2_Light(kW),z2_Plug(kW),z2_S1(degC),z2_S1(RH%),z2_S1(lux),z3_Light(kW),z3_Plug(kW),z4_AC1(kW),z4_AC2(kW),z4_AC3(kW),z4_AC4(kW),z4_Light(kW),z4_Plug(kW),z4_S1(degC),z4_S1(RH%),z4_S1(lux),z5_AC1(kW),z5_Light(kW),z5_Plug(kW),z5_S1(degC),z5_S1(RH%),z5_S1(lux)
2018-07-01 00:00:00,0.0,0.0,0.24000000000000002,27.553333333333335,72.32233333333333,0.0,0.0,0.01,0.08633333333333333,27.743214285714284,70.57928571428572,0.0,0.02,0.26166666666666666,0.0,0.0,0.0,0.0,0.0,0.09366666666666666,27.272,71.752,0.0,0.0,0.0,0.045,28.817857142857143,68.465,0.0
2018-07-01 00:30:00,0.0,0.0,0.29933333333333334,27.536,71.97066666666666,0.0,0.0,0.01,0.01,27.68566666666667,70.56766666666667,0.0,0.02,0.26166666666666666,0.0,0.0,0.0,0.0,0.0,0.10600000000000001,27.25633333333333,71.65733333333333,0.0,0.0,0.0,0.05266666666666667,28.676666666666666,68.44033333333333,0.0
2018-07-01 01:00:00,0.0,0.0,0.16433333333333336,27.521666666666665,71.837,0.0,0.0,0.01,0.10033333333333334,27.64,70.563,0.0,0.02,0.26166666666666666,0.0,0.0,0.0,0.0,0.0,0.09966666666666667,27.247,71.64566666666666,0.0,0.0,0.0,0.03933333333333333,28.573333333333334,68.551,0.0
2018-07-01 01:30:00,0.0,0.0,0.22566666666666668,27.516333333333332,71.721,0.0,0.0,0.01,0.01,27.610357142857143,70.48071428571428,0.0,0.021,0.261,0.0,0.0,0.0,0.0,0.0006896551724137932,0.10466666666666667,27.243999999999996,71.63000000000001,0.0,0.0,0.00035714285714285714,0.06344827586206897,28.59666666666667,68.70766666666667,0.0
2018-07-01 02:00:00,0.0,0.0,0.2533333333333333,27.500333333333334,71.63066666666667,0.0,0.0,0.01,0.10033333333333334,27.561333333333334,70.49766666666666,0.0,0.02,0.263,0.0,0.0,0.0,0.0,0.0,0.09200000000000001,27.25133333333333,71.61666666666666,0.0,0.0,0.0,0.051333333333333335,28.616,68.7148,0.0
2018-07-01 02:30:00,0.0,0.0,0.2836666666666667,27.48,71.57199999999999,0.0,0.0,0.01,0.019333333333333334,27.526,70.50666666666666,0.0,0.02033333333333333,0.26166666666666666,0.0,0.0,0.0,0.0,0.0003448275862068966,0.107,27.246666666666666,71.61866666666667,0.0,0.0,0.00037037037037037035,0.037586206896551726,28.636666666666667,68.768,0.0
2018-07-01 03:00:00,0.0,0.0,0.214,27.458571428571428,71.55499999999999,0.0,0.0,0.01,0.08966666666666666,27.502499999999998,70.49535714285715,0.0,0.02,0.26,0.0,0.0,0.0,0.0,0.0,0.09233333333333334,27.250666666666667,71.63766666666668,0.0,0.0,0.0,0.05366666666666667,28.55666666666667,68.796,0.0
2018-07-01 03:30:00,0.0,0.0,0.20500000000000002,27.457666666666668,71.52833333333334,0.0,0.0,0.01,0.03266666666666667,27.509333333333334,70.37100000000001,0.0,0.02,0.26166666666666666,0.0,0.0,0.0,0.0,0.0,0.09266666666666667,27.238,71.66000000000001,0.0,0.0,0.0,0.034,28.439999999999998,68.734,0.0
2018-07-01 04:00:00,0.0,0.0,0.2613333333333333,27.467333333333332,71.45266666666666,0.0,0.0,0.01,0.06866666666666667,27.474999999999998,70.32571428571428,0.0,0.02,0.26166666666666666,0.0,0.0,0.0,0.0,0.0,0.09166666666666666,27.253,71.62266666666666,0.0,0.0,0.0,0.05366666666666667,28.360714285714288,68.82392857142857,0.0
2018-07-01 04:30:00,0.0,0.0,0.26033333333333336,27.45689655172414,71.42758620689655,0.0,0.0,0.01,0.05433333333333334,27.461333333333336,70.258,0.0,0.02,0.26333333333333336,0.0,0.0,0.0,0.0,0.0,0.09200000000000001,27.238999999999997,71.597,0.0,0.0,0.0,0.05,28.489285714285717,68.8175,0.0
2018-07-01 05:00:00,0.0,0.0,0.181,27.442962962962966,71.40037037037037,0.0,0.0,0.01,0.04733333333333333,27.446538461538463,70.18423076923077,0.0,0.02,0.26999999999999996,0.0,0.0,0.0,0.0,0.0,0.098,27.233666666666668,71.64266666666667,0.0,0.0,0.0,0.03233333333333333,28.407142857142855,68.82857142857144,0.0
2018-07-01 05:30:00,0.0,0.0,0.25166666666666665,27.443461538461538,71.35115384615384,0.0,0.0,0.01,0.07533333333333334,27.430333333333337,70.378,0.0,0.02033333333333333,0.25933333333333336,0.0,0.0,0.0,0.0,0.0003448275862068966,0.105,27.223666666666666,71.639,0.0,0.0,0.0,0.05655172413793104,28.439999999999998,68.90833333333333,0.0
2018-07-01 06:00:00,0.0,0.0,0.2733333333333333,27.464666666666666,71.28066666666668,0.0,0.0,0.01,0.026333333333333334,27.436785714285715,70.34642857142858,0.0,0.02,0.255,0.0,0.0,0.0,0.0,0.0,0.09733333333333333,27.241,71.62066666666666,0.03333333333333333,0.0,0.0,0.036000000000000004,28.461785714285718,68.86071428571428,0.0
2018-07-01 06:30:00,0.0,0.0,0.21766666666666667,27.582333333333334,71.11266666666667,2.4,0.0,0.01,0.09466666666666666,27.445333333333334,70.03233333333333,0.06666666666666667,0.02,0.255,0.0,0.0,0.0,0.0,0.0003448275862068966,0.09866666666666667,27.416,71.18566666666668,2.9,0.0,0.0,0.05758620689655172,28.386666666666667,68.34066666666668,1.1666666666666667
