date,mels_S,lig_S,mels_N,hvac_N,hvac_S
2018-01-02 09:00:00,1.2499999700000002,0.200000003,6.7999999525,37.700000765,19.694999695
2018-01-02 09:30:00,1.225000024,1.87499997,6.875,37.14500046,19.38999939
2018-01-02 10:00:00,1.274999976,1.3999999645,7.725000024,38.05000038,20.24500019
2018-01-02 10:30:00,1.200000048,0.9999999775,7.0,37.60000038,20.094999695
2018-01-02 11:00:00,1.150000036,0.1000000015,7.4449996945,37.54,19.9
2018-01-02 11:30:00,1.149999976,0.1500000025,6.8500000235,38.04,24.0
2018-01-02 12:00:00,1.199999988,0.200000003,7.799999952,37.25,20.40000038
2018-01-02 12:30:00,1.199999988,0.7999999895,11.0500001905,37.99500046,19.65000038
2018-01-02 13:00:00,0.600000024,0.4000000135,7.900000095499999,50.7,19.55
2018-01-02 13:30:00,1.300000012,1.549999952,9.399999619,61.499999235,19.844999695
2018-01-02 14:00:00,1.6499999765,3.5166665715,8.433333556000001,51.150000000000006,19.1
2018-01-02 14:30:00,2.1499999765,3.1833332385,8.966667015999999,50.89499855,20.244999885
2018-01-02 15:00:00,2.124999941,3.900000095,8.6999998095,46.99999962,25.24999962
2018-01-02 15:30:00,2.6499999765,3.900000095,8.600000381,37.80000038,21.850000190000003
2018-01-02 16:00:00,3.5725001095,3.900000095,9.122500181,52.25,21.60000038
2018-01-02 16:30:00,4.2950000765,3.8500000235,10.944999695,60.64999962,32.449998855000004
2018-01-02 17:00:00,6.2999999525,3.1450001005,15.650000095,49.7,24.95
2018-01-02 17:30:00,7.5,4.300000191,21.05000019,49.145,30.645
2018-01-02 18:00:00,7.900000095499999,4.144999981,23.75,37.55,20.25
2018-01-02 18:30:00,8.200000286,4.195000172,23.0,58.050000765,36.349999235
2018-01-02 19:00:00,7.9449996945,4.144999981,23.25,48.6,21.1
2018-01-02 19:30:00,8.050000191,4.25,23.75,52.45,24.5
2018-01-02 20:00:00,7.400000095,3.0999999045,23.64999962,41.800000765,46.199999235
2018-01-02 20:30:00,7.199999809,4.199999809,25.10000038,37.345,33.745000000000005
2018-01-02 21:00:00,6.900000095499999,4.644999981,21.44999981,38.90000038,23.45000019
2018-01-02 21:30:00,7.199999809,4.590000153,20.150000570000003,61.500000765,18.80000019
2018-01-02 22:00:00,7.124999881,4.672499895,16.85000038,38.35,39.399999235
2018-01-02 22:30:00,7.250000119499999,4.699999809,15.60000038,50.000000765,24.49999981
2018-01-02 23:00:00,6.849999904500001,4.699999809,14.200000285000002,48.45,18.65
2018-01-02 23:30:00,6.2999999525,4.699999809,12.475000145,49.85,19.05
2018-01-03 00:00:00,5.549999952,4.5,11.30000019,48.099999235,23.85
2018-01-03 00:30:00,4.6000000835,3.1000000835,8.75,48.05,18.65
2018-01-03 01:00:00,3.3000000715000004,4.245000124000001,14.0,48.445,19.4
2018-01-03 01:30:00,2.5500000715000004,3.995000124,13.849999905,37.2,18.29999962
2018-01-03 02:00:00,2.245000005,4.0,13.10000038,37.550000765,25.05000038
2018-01-03 02:30:00,2.0,0.7000000255,10.7000002855,47.25000038,19.10000038
2018-01-03 03:00:00,1.0499999675,0.950000037,8.1500003335,50.345,18.700000000000003
2018-01-03 03:30:00,2.083333254,0.200000003,8.150000175,37.845,19.950000000000003
2018-01-03 04:00:00,2.016666651,0.200000003,7.550000111,37.950000765,28.149999615
2018-01-03 04:30:00,1.962499991,0.200000003,7.7749999165,37.89500046,23.30000019
2018-01-03 05:00:00,1.912499979,0.200000003,8.2749996785,38.049999235,20.20000076
2018-01-03 05:30:00,2.100000024,0.200000003,8.84499979,37.60000038,19.094999695
2018-01-03 06:00:00,1.924999982,0.200000003,9.7999997145,38.55,20.34499962
2018-01-03 06:30:00,2.0499999525,0.200000003,8.5499999525,37.29000046,23.49999981
2018-01-03 07:00:00,2.1499999765,0.200000003,8.049999714,37.84500046,19.54500038
2018-01-03 07:30:00,2.099999905,0.200000003,7.4750000235,38.550000765,20.19999962
2018-01-03 08:00:00,1.9499999285,0.200000003,7.5,36.550000765,18.34499962
2018-01-03 08:30:00,2.0499999525,0.7999999895,7.75,37.800000765,36.34999962
2018-01-03 09:00:00,2.099999905,0.7999999895000001,8.0,37.90000153,21.30000019
2018-01-03 09:30:00,2.124999941,0.200000003,8.2725000385,36.900000765,18.74500019
2018-01-03 10:00:00,2.2225000265,0.200000003,8.217499733,53.500001905000005,30.340000155
2018-01-03 10:30:00,2.144999981,0.200000003,8.125000119500001,38.899999235,20.85000038
2018-01-03 11:00:00,2.150000036,0.200000003,7.649999857,38.194999695,20.545000075
2018-01-03 11:30:00,1.899999976,1.099999983,7.5499999525,37.15000038,19.1
2018-01-03 12:00:00,1.849999964,0.7999999895000001,11.45000005,37.745000000000005,19.995
2018-01-03 12:30:00,1.899999976,0.200000003,11.5500001905,38.04,23.75
2018-01-03 13:00:00,1.924999982,0.200000003,8.842499733,37.145,19.845
2018-01-03 13:30:00,2.449999988,2.199999906,9.1449999805,49.850000765,19.139999695
2018-01-03 14:00:00,3.0333333415,4.249999841,9.1150002475,39.05,20.095
2018-01-03 14:30:00,3.1666667065,4.449999968,9.1749997135,50.95,21.85
2018-01-03 15:00:00,3.425000012,4.0500000715,10.547499895,37.899999235,34.599999235
2018-01-03 15:30:00,4.0,4.100000143,7.849999904500001,49.95,31.75
2018-01-03 16:00:00,4.5,4.325000167,6.4499998095,49.85000038,20.64999962
2018-01-03 16:30:00,5.5,4.549999952,11.0,50.895,19.55000019
2018-01-03 17:00:00,6.849999904500001,4.495000124000001,11.75,49.250000765,27.15000019
2018-01-03 17:30:00,7.299999952,4.894999981,9.0000002375,48.150000765,37.2
2018-01-03 18:00:00,5.875,5.3225001095,12.27499962,37.149999615,20.150000570000003
2018-01-03 18:30:00,4.5,5.245000124000001,7.599999786,48.795,21.695
2018-01-03 19:00:00,6.890000057,5.250000095,7.1099999665,50.399999235,22.1
2018-01-03 19:30:00,7.410000134000001,5.050000095,12.189999985,42.25,34.3
2018-01-03 20:00:00,7.625000119499999,4.875000119,15.32500005,60.2,24.545
2018-01-03 20:30:00,6.899999857,5.150000095499999,10.8499999045,49.700000765,25.100000190000003
2018-01-03 21:00:00,6.5499999525,5.649999857,18.89999962,60.950000765,20.60000038
2018-01-03 21:30:00,6.400000095,5.6000001435,18.275000335,36.95,9.15
2018-01-03 22:00:00,6.400000095,4.900000095499999,14.450000285000002,48.650000765,20.95
2018-01-03 22:30:00,6.75,4.799999952,13.25,34.645,27.55000038
2018-01-03 23:00:00,7.2166665395,5.1250001595,12.033333145,33.049999235,6.349999905
2018-01-03 23:30:00,7.2833334605,5.2650001845,11.366666475,62.35000038,18.594999315
2018-01-04 00:00:00,5.349999904500001,4.700000048,11.275000095,49.15,25.9
2018-01-04 00:30:00,4.394999981,4.650000095499999,10.450000285000002,47.950000380000006,31.79500038
2018-01-04 01:00:00,2.899999976,3.600000143,14.694999695,49.05000038,18.195
2018-01-04 01:30:00,2.599999905,3.0,13.099999905,49.795,19.1
2018-01-04 02:00:00,1.150000036,2.799999952,12.049999714999998,49.95,24.65
2018-01-04 02:30:00,2.0499999525,1.6000000535,8.500000238,38.445,19.095
2018-01-04 03:00:00,1.87499997,0.3750000075,8.047499895,36.8,30.95
2018-01-04 03:30:00,1.799999952,0.8499999939999999,7.9949998855,38.74500038,20.39999962
2018-01-04 04:00:00,1.949999988,0.6250000149999999,7.549999952,37.550000765,20.25
2018-01-04 04:30:00,1.700000048,0.3999999945,7.600000143,37.145,20.45000019
2018-01-04 05:00:00,1.849999994,0.1750000025,7.5499999525,36.9,17.595
