date,rtu_001_oa_temp,rtu_002_oa_temp,rtu_003_oa_temp,rtu_004_oa_temp
2018-01-01 00:00:00,49.12,53.973333333333336,52.07,51.6
2018-01-01 00:30:00,48.06,53.56333333333334,51.940000000000005,50.61666666666667
2018-01-01 01:00:00,46.93666666666666,51.66333333333333,51.02,49.25
2018-01-01 01:30:00,46.690000000000005,51.16,50.93,49.07666666666667
2018-01-01 02:00:00,46.736666666666665,51.15,50.95,49.193333333333335
2018-01-01 02:30:00,46.47666666666667,50.92999999999999,50.72666666666667,48.88333333333333
2018-01-01 03:00:00,46.23,50.74666666666667,50.59333333333333,48.653333333333336
2018-01-01 03:30:00,45.63,50.23,50.17,48.09666666666667
2018-01-01 04:00:00,44.70666666666667,49.54333333333333,49.74333333333333,47.29666666666667
2018-01-01 04:30:00,44.623333333333335,49.24333333333333,49.41,47.30333333333333
2018-01-01 05:00:00,45.03333333333333,49.40333333333333,49.10666666666667,47.513333333333335
2018-01-01 05:30:00,45.04666666666667,49.33,48.85666666666667,47.48
2018-01-01 06:00:00,44.99,49.3,49.056666666666665,47.43333333333333
2018-01-01 06:30:00,45.02,49.31666666666667,48.86666666666667,47.46333333333334
2018-01-01 07:00:00,45.46666666666667,49.67333333333333,49.09333333333333,47.92
2018-01-01 07:30:00,45.60666666666667,49.87,49.373333333333335,48.02
2018-01-01 08:00:00,45.583333333333336,49.88666666666666,49.64666666666667,48.03
2018-01-01 08:30:00,45.27,49.86666666666667,49.64666666666667,47.806666666666665
2018-01-01 09:00:00,45.57333333333334,49.93333333333333,49.56,47.84666666666667
2018-01-01 09:30:00,45.10666666666667,50.223333333333336,49.48333333333333,47.39
2018-01-01 10:00:00,45.08666666666667,49.580000000000005,49.48333333333333,47.49666666666667
2018-01-01 10:30:00,44.723333333333336,49.31,48.86333333333334,47.03666666666666
2018-01-01 11:00:00,44.17,49.54,48.77333333333333,46.126666666666665
2018-01-01 11:30:00,44.190000000000005,49.54,48.55333333333333,46.75333333333333
2018-01-01 12:00:00,42.27,48.21333333333334,47.34333333333333,44.7
2018-01-01 12:30:00,43.00666666666667,48.32666666666667,47.53,45.690000000000005
2018-01-01 13:00:00,43.486666666666665,48.18,47.67666666666666,45.84666666666667
2018-01-01 13:30:00,43.220000000000006,48.25666666666667,48.20333333333334,46.126666666666665
2018-01-01 14:00:00,43.67,48.376666666666665,48.35666666666667,45.89666666666667
2018-01-01 14:30:00,42.943333333333335,47.98,47.86,45.11666666666667
2018-01-01 15:00:00,41.82666666666667,47.10333333333333,46.78,44.190000000000005
2018-01-01 15:30:00,41.61,46.88333333333333,46.14666666666667,43.92333333333333
2018-01-01 16:00:00,44.48,47.373333333333335,46.82,46.41333333333333
2018-01-01 16:30:00,47.53666666666666,47.836666666666666,47.02333333333333,50.88333333333333
2018-01-01 17:00:00,49.28333333333333,48.45333333333333,47.49666666666667,51.34666666666667
2018-01-01 17:30:00,50.53333333333333,49.47,48.38333333333333,52.99333333333333
2018-01-01 18:00:00,49.98333333333333,50.35333333333333,50.06,55.36666666666667
2018-01-01 18:30:00,52.48,51.91333333333333,51.22,54.306666666666665
2018-01-01 19:00:00,56.10666666666667,54.06,51.79,56.96
2018-01-01 19:30:00,57.71666666666667,56.906666666666666,54.336666666666666,58.94666666666667
2018-01-01 20:00:00,59.20666666666667,58.84,56.333333333333336,59.96666666666667
2018-01-01 20:30:00,60.73,61.23333333333333,58.77333333333333,62.16666666666666
2018-01-01 21:00:00,59.306666666666665,61.99333333333333,59.00333333333333,61.21666666666667
2018-01-01 21:30:00,57.22,61.1,59.473333333333336,61.34333333333333
2018-01-01 22:00:00,59.0,62.28333333333333,61.580000000000005,64.28
2018-01-01 22:30:00,58.443333333333335,61.766666666666666,62.35333333333333,64.11333333333333
2018-01-01 23:00:00,60.53333333333333,63.10666666666667,63.406666666666666,66.25666666666667
2018-01-01 23:30:00,58.766666666666666,62.96666666666667,62.71666666666667,64.16333333333334
2018-01-02 00:00:00,57.92,63.22666666666667,61.440000000000005,62.12
2018-01-02 00:30:00,52.95333333333333,58.906666666666666,57.97,56.29
2018-01-02 01:00:00,51.61,57.03333333333333,56.09666666666667,54.27333333333333
2018-01-02 01:30:00,51.66333333333333,56.653333333333336,55.88666666666666,54.05
2018-01-02 02:00:00,51.92,56.68666666666666,55.93666666666666,54.16
2018-01-02 02:30:00,51.973333333333336,56.623333333333335,56.080000000000005,54.07333333333334
2018-01-02 03:00:00,51.940000000000005,56.5,56.02,54.37
2018-01-02 03:30:00,51.76,56.48,56.13333333333333,54.080000000000005
2018-01-02 04:00:00,51.406666666666666,56.21,55.35333333333333,53.65333333333333
2018-01-02 04:30:00,50.82333333333334,55.73666666666667,55.25333333333333,53.00666666666667
2018-01-02 05:00:00,49.96666666666667,55.07,54.74,52.41
2018-01-02 05:30:00,49.52,54.623333333333335,53.876666666666665,51.906666666666666
2018-01-02 06:00:00,49.15333333333333,54.236666666666665,53.10333333333333,51.34666666666667
2018-01-02 06:30:00,48.70333333333333,53.940000000000005,52.906666666666666,51.00666666666667
2018-01-02 07:00:00,47.81,53.27333333333333,52.09,50.21
2018-01-02 07:30:00,49.88333333333333,54.03,53.82666666666667,51.97666666666667
2018-01-02 08:00:00,50.16666666666666,54.89333333333333,54.02666666666666,52.6
2018-01-02 08:30:00,50.16,54.91666666666666,54.11333333333334,52.73333333333333
2018-01-02 09:00:00,49.34,54.45333333333333,54.056666666666665,51.94666666666667
2018-01-02 09:30:00,49.15,53.94666666666667,53.65,51.77
