date,rtu_001_sa_temp,rtu_002_sa_temp,rtu_003_sa_temp,rtu_004_sa_temp
2018-01-01 00:00:00,67.72,68.50333333333333,65.34333333333333,66.07333333333334
2018-01-01 00:30:00,67.51,68.28333333333333,65.14,66.03
2018-01-01 01:00:00,67.53333333333333,68.28666666666666,65.12666666666667,65.64
2018-01-01 01:30:00,68.01333333333334,68.01666666666667,65.22666666666666,65.53333333333333
2018-01-01 02:00:00,68.01333333333334,68.24333333333333,65.05,65.44
2018-01-01 02:30:00,67.95333333333333,68.15,65.15333333333334,65.29333333333334
2018-01-01 03:00:00,67.89333333333333,67.71,64.97666666666666,65.10666666666667
2018-01-01 03:30:00,67.71666666666667,67.34,64.93666666666667,65.09333333333333
2018-01-01 04:00:00,67.59,67.51666666666667,64.86,64.99
2018-01-01 04:30:00,67.38333333333334,67.30666666666667,64.52666666666667,64.70666666666666
2018-01-01 05:00:00,67.43666666666667,67.45333333333333,64.68,64.69
2018-01-01 05:30:00,67.54333333333334,67.43666666666667,65.27666666666667,64.67
2018-01-01 06:00:00,67.53333333333333,67.56,65.21,64.65333333333334
2018-01-01 06:30:00,67.49,67.78333333333333,65.3,64.58
2018-01-01 07:00:00,67.58333333333333,67.79333333333334,65.02333333333334,64.58
2018-01-01 07:30:00,67.64666666666668,67.44,65.45333333333333,64.78666666666666
2018-01-01 08:00:00,67.55666666666667,67.26333333333334,65.17,64.75666666666667
2018-01-01 08:30:00,67.47333333333333,67.48666666666666,65.10333333333332,64.64
2018-01-01 09:00:00,67.33,67.47333333333333,65.26333333333334,64.5
2018-01-01 09:30:00,67.36,67.33666666666666,65.27,64.46333333333334
2018-01-01 10:00:00,67.30666666666667,66.97,65.00333333333333,64.40333333333334
2018-01-01 10:30:00,67.21,66.92333333333333,64.8,64.26666666666667
2018-01-01 11:00:00,67.14333333333333,67.24666666666667,64.92333333333333,64.29333333333334
2018-01-01 11:30:00,67.06666666666666,67.22666666666666,65.11333333333333,64.51666666666667
2018-01-01 12:00:00,66.77666666666667,66.69333333333333,64.49666666666667,64.07
2018-01-01 12:30:00,66.86,66.61666666666666,64.83666666666666,63.95
2018-01-01 13:00:00,66.93,66.55666666666667,64.68,63.75
2018-01-01 13:30:00,66.83333333333333,66.43333333333334,64.57000000000001,63.75666666666667
2018-01-01 14:00:00,66.90666666666667,67.04333333333334,64.84333333333333,63.81333333333334
2018-01-01 14:30:00,66.56333333333333,66.56,64.65333333333334,63.49333333333333
2018-01-01 15:00:00,66.44666666666666,66.05666666666667,64.02333333333334,63.32333333333334
2018-01-01 15:30:00,66.40666666666667,66.73333333333333,64.42,63.23333333333333
2018-01-01 16:00:00,66.60333333333332,67.09666666666666,64.19,63.47
2018-01-01 16:30:00,66.81,67.18333333333334,64.41666666666667,63.66333333333333
2018-01-01 17:00:00,67.14,67.11666666666666,64.40333333333334,63.88333333333333
2018-01-01 17:30:00,67.29333333333334,67.29,65.02,64.15
2018-01-01 18:00:00,67.35,67.93666666666667,65.19666666666666,64.62333333333333
2018-01-01 18:30:00,67.66666666666667,67.86999999999999,65.50666666666667,64.83
2018-01-01 19:00:00,68.43,68.18333333333334,65.05,65.11333333333333
2018-01-01 19:30:00,68.67333333333333,68.67666666666668,65.51666666666667,65.77333333333334
2018-01-01 20:00:00,68.25666666666667,68.96333333333334,64.76,66.13666666666667
2018-01-01 20:30:00,68.63000000000001,69.6,65.35,66.69333333333334
2018-01-01 21:00:00,68.18333333333334,69.68333333333334,65.37333333333333,66.82666666666667
2018-01-01 21:30:00,68.40666666666667,69.69333333333334,65.38666666666667,67.00666666666667
2018-01-01 22:00:00,68.26333333333334,69.94666666666667,65.22333333333333,67.52333333333334
2018-01-01 22:30:00,68.21,70.19666666666667,65.21666666666667,67.86
2018-01-01 23:00:00,68.3,70.37333333333332,65.19333333333333,68.08333333333333
2018-01-01 23:30:00,68.58333333333333,70.61,65.19,68.25
2018-01-02 00:00:00,68.49,70.42333333333333,65.13666666666667,68.27666666666667
2018-01-02 00:30:00,67.64333333333333,70.01666666666667,64.63666666666667,67.67666666666666
2018-01-02 01:00:00,67.36666666666666,69.75666666666666,64.84666666666666,67.25666666666667
2018-01-02 01:30:00,67.87666666666667,69.61999999999999,64.79666666666667,67.04
2018-01-02 02:00:00,67.68,69.43333333333334,64.74333333333333,66.96666666666667
2018-01-02 02:30:00,67.67666666666666,69.03,64.81,66.95
2018-01-02 03:00:00,67.75,69.26,64.82333333333334,66.93666666666667
2018-01-02 03:30:00,67.63333333333334,69.42666666666668,64.99,66.81
2018-01-02 04:00:00,67.30333333333333,69.27333333333333,64.71,66.72666666666666
2018-01-02 04:30:00,67.29666666666667,68.94,65.08,66.48
2018-01-02 05:00:00,67.30666666666667,68.7,64.95,66.29666666666667
2018-01-02 05:30:00,67.23666666666666,68.95333333333333,64.57,66.14
2018-01-02 06:00:00,67.81666666666666,68.54666666666667,64.44,66.11999999999999
2018-01-02 06:30:00,68.18,68.58666666666666,64.68666666666667,65.98333333333333
2018-01-02 07:00:00,67.83,68.13000000000001,64.44666666666667,65.66333333333334
2018-01-02 07:30:00,68.09,68.46333333333334,64.94333333333333,65.94333333333333
2018-01-02 08:00:00,68.19,68.51,64.65,65.98333333333333
2018-01-02 08:30:00,68.27666666666667,68.41666666666667,64.99333333333333,66.05666666666667
2018-01-02 09:00:00,68.14333333333333,68.64666666666668,64.93666666666667,65.90333333333334
2018-01-02 09:30:00,68.11,68.39333333333335,64.94666666666667,65.81
2018-01-02 10:00:00,68.33666666666666,68.55333333333333,65.03,65.78
