date,rtu_001_ra_temp,rtu_002_ra_temp,rtu_003_ra_temp,rtu_004_ra_temp
2018-01-01 00:00:00,68.67666666666668,68.86333333333333,67.95,67.43333333333334
2018-01-01 00:30:00,68.59333333333332,68.81333333333333,68.03333333333333,67.42666666666668
2018-01-01 01:00:00,68.48666666666666,68.77333333333333,67.88666666666667,67.35666666666667
2018-01-01 01:30:00,68.43,68.7,67.87666666666667,67.29
2018-01-01 02:00:00,68.39666666666668,68.7,67.76333333333334,67.24333333333333
2018-01-01 02:30:00,68.38333333333334,68.65666666666667,67.84333333333333,67.19333333333333
2018-01-01 03:00:00,68.32333333333332,68.56333333333333,67.72666666666666,67.15
2018-01-01 03:30:00,68.27666666666667,68.5,67.76666666666667,67.10666666666665
2018-01-01 04:00:00,68.20666666666666,68.48,67.66333333333334,67.04333333333334
2018-01-01 04:30:00,68.11333333333333,68.36333333333333,67.54333333333334,66.94
2018-01-01 05:00:00,68.07333333333332,68.33,67.07666666666667,66.90333333333334
2018-01-01 05:30:00,68.09333333333332,68.34666666666666,67.27666666666667,66.85666666666667
2018-01-01 06:00:00,68.09333333333332,68.32333333333332,67.44,66.82666666666667
2018-01-01 06:30:00,68.03999999999999,68.31,67.33,66.79333333333334
2018-01-01 07:00:00,68.03333333333333,68.3,67.15666666666667,66.74
2018-01-01 07:30:00,68.03333333333333,68.24333333333333,67.36333333333333,66.73666666666666
2018-01-01 08:00:00,68.0,68.19666666666667,67.31666666666666,66.71
2018-01-01 08:30:00,68.03666666666666,68.23333333333333,67.08666666666667,66.61333333333333
2018-01-01 09:00:00,67.90666666666667,68.17333333333333,67.14333333333333,66.60666666666665
2018-01-01 09:30:00,67.9,68.10666666666667,67.19333333333333,66.55333333333333
2018-01-01 10:00:00,67.84,68.02666666666667,67.05,66.52666666666667
2018-01-01 10:30:00,67.78333333333333,67.96333333333334,66.98333333333333,66.42666666666668
2018-01-01 11:00:00,67.76,67.98333333333333,67.00666666666667,66.41666666666667
2018-01-01 11:30:00,67.71666666666667,67.95333333333333,67.16,66.46333333333334
2018-01-01 12:00:00,67.64333333333333,67.84333333333333,66.94666666666667,66.47666666666666
2018-01-01 12:30:00,67.58999999999999,67.80666666666667,66.99333333333333,66.36666666666666
2018-01-01 13:00:00,67.57666666666667,67.74333333333333,66.83,66.24
2018-01-01 13:30:00,67.52333333333334,67.70666666666666,66.75333333333334,66.16333333333334
2018-01-01 14:00:00,67.50666666666667,67.80666666666667,66.91,66.13666666666667
2018-01-01 14:30:00,67.41333333333334,67.76333333333334,66.88666666666667,66.04333333333334
2018-01-01 15:00:00,67.36333333333333,67.69,66.68333333333334,66.00333333333333
2018-01-01 15:30:00,67.33666666666666,67.74,66.86333333333333,65.94
2018-01-01 16:00:00,67.32333333333334,67.82333333333334,66.69666666666667,65.92333333333333
2018-01-01 16:30:00,67.46666666666667,67.95666666666666,66.83,65.98333333333333
2018-01-01 17:00:00,67.61333333333333,68.03333333333333,66.74666666666667,66.08
2018-01-01 17:30:00,67.76666666666667,68.13666666666667,66.96666666666667,66.19
2018-01-01 18:00:00,67.87333333333333,68.28333333333333,67.01,66.28666666666666
2018-01-01 18:30:00,68.03,68.34333333333333,67.15666666666667,66.36
2018-01-01 19:00:00,68.36666666666666,68.53,67.22666666666666,66.48666666666666
2018-01-01 19:30:00,68.58,68.68666666666667,67.45,66.63333333333334
2018-01-01 20:00:00,68.84666666666666,68.75666666666666,67.65666666666667,66.74666666666667
2018-01-01 20:30:00,69.05666666666666,69.0,67.74,66.94333333333334
2018-01-01 21:00:00,69.16333333333334,69.06333333333333,67.83666666666667,67.04333333333334
2018-01-01 21:30:00,69.41666666666667,69.32,67.91333333333334,67.21
2018-01-01 22:00:00,69.54333333333334,69.39000000000001,68.12333333333333,67.44333333333333
2018-01-01 22:30:00,69.66333333333334,69.53333333333333,68.22333333333333,67.52
2018-01-01 23:00:00,69.69000000000001,69.56333333333333,68.28999999999999,67.65
2018-01-01 23:30:00,69.77666666666667,69.73666666666666,68.38333333333334,67.82333333333334
2018-01-02 00:00:00,69.75666666666666,69.76,68.38333333333334,67.97
2018-01-02 00:30:00,69.64,69.63333333333334,68.30333333333333,67.82666666666667
2018-01-02 01:00:00,69.48666666666666,69.56666666666666,68.20666666666666,67.67333333333333
2018-01-02 01:30:00,69.26666666666667,69.40666666666668,68.15333333333334,67.59666666666666
2018-01-02 02:00:00,69.05333333333333,69.29666666666667,68.06,67.51333333333334
2018-01-02 02:30:00,68.95333333333333,69.13000000000001,68.06666666666666,67.48333333333333
2018-01-02 03:00:00,68.90333333333335,69.12666666666665,68.05333333333333,67.45333333333333
2018-01-02 03:30:00,68.78333333333333,69.13333333333334,68.0,67.39666666666668
2018-01-02 04:00:00,68.69666666666667,69.07666666666665,67.90666666666667,67.36
2018-01-02 04:30:00,68.63666666666667,68.96666666666667,67.80666666666667,67.30333333333333
2018-01-02 05:00:00,68.58333333333333,68.89000000000001,67.83333333333333,67.23
2018-01-02 05:30:00,68.5,68.88666666666667,67.71,67.20666666666666
2018-01-02 06:00:00,68.44000000000001,68.79333333333334,67.63,67.18666666666667
2018-01-02 06:30:00,68.47333333333333,68.78666666666666,67.58333333333333,67.13666666666667
2018-01-02 07:00:00,68.39333333333335,68.67,67.52,67.05
2018-01-02 07:30:00,68.36999999999999,68.66333333333334,67.52333333333334,67.02333333333334
2018-01-02 08:00:00,68.45333333333333,68.71333333333334,67.46333333333334,67.02333333333334
2018-01-02 08:30:00,68.57333333333332,68.78,67.50666666666667,67.02333333333334
